#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.1000000E+03  0.2903558E+05  0.8294704E+05  0.2117041E+06  0.4426275E+06  0.7694927E+06  0.1112342E+07  0.1980927E+07  0.3530101E+07  0.6267509E+07  0.1104872E+08  0.1951508E+08  0.3455526E+08  0.6099744E+08
  0.2000000E+03  0.3494477E+05  0.9107368E+05  0.2193896E+06  0.4481256E+06  0.8049338E+06  0.1381326E+07  0.2686871E+07  0.4955077E+07  0.8826144E+07  0.1552846E+08  0.2717165E+08  0.4881846E+08  0.8326079E+08
  0.3000000E+03  0.3537915E+05  0.8674751E+05  0.1988159E+06  0.3871812E+06  0.6487608E+06  0.9446472E+06  0.2430617E+07  0.6047908E+07  0.1571808E+08  0.3525961E+08  0.4027738E+08  0.5580249E+08  0.9645099E+08
  0.4000000E+03  0.3159160E+05  0.7423748E+05  0.1633729E+06  0.3044778E+06  0.4813914E+06  0.6470206E+06  0.1704658E+07  0.4569081E+07  0.1212914E+08  0.3492912E+08  0.9152519E+08  0.1907937E+09  0.3524597E+09
  0.5000000E+03  0.2590074E+05  0.5919551E+05  0.1264753E+06  0.2278510E+06  0.3440137E+06  0.4298819E+06  0.1153322E+07  0.3074948E+07  0.8089402E+07  0.2151464E+08  0.5440251E+08  0.1284119E+09  0.2892184E+09
  0.6000000E+03  0.2024387E+05  0.4561971E+05  0.9592552E+05  0.1698583E+06  0.2518375E+06  0.3124050E+06  0.8207765E+06  0.2137194E+07  0.5569783E+07  0.1469451E+08  0.3686862E+08  0.8529254E+08  0.1820023E+09
  0.7000000E+03  0.1563507E+05  0.3517181E+05  0.7375226E+05  0.1302936E+06  0.1929017E+06  0.2383531E+06  0.6159170E+06  0.1588970E+07  0.4155010E+07  0.1099876E+08  0.2884410E+08  0.6759945E+08  0.1424029E+09
  0.8000000E+03  0.1231584E+05  0.2792177E+05  0.5907790E+05  0.1057860E+06  0.1605900E+06  0.2096206E+06  0.5362688E+06  0.1347785E+07  0.3392993E+07  0.8792481E+07  0.2308832E+08  0.5683595E+08  0.1247923E+09
  0.9000000E+03  0.1005827E+05  0.2305943E+05  0.4946616E+05  0.9033079E+05  0.1417569E+06  0.1970703E+06  0.5074884E+06  0.1275176E+07  0.3112184E+07  0.7593524E+07  0.1937053E+08  0.4892662E+08  0.1119362E+09
  0.1000000E+04  0.8476969E+04  0.1958540E+05  0.4243190E+05  0.7849642E+05  0.1254160E+06  0.1782594E+06  0.4668549E+06  0.1199152E+07  0.2980572E+07  0.7118501E+07  0.1708729E+08  0.4273715E+08  0.1007700E+09
  0.1100000E+04  0.7252929E+04  0.1678160E+05  0.3646032E+05  0.6768465E+05  0.1084912E+06  0.1541442E+06  0.4106444E+06  0.1080062E+07  0.2790675E+07  0.6858811E+07  0.1607354E+08  0.3835218E+08  0.9148547E+08
  0.1200000E+04  0.6209985E+04  0.1430360E+05  0.3097158E+05  0.5727503E+05  0.9120198E+05  0.1278109E+06  0.3474882E+06  0.9368892E+06  0.2539770E+07  0.6535288E+07  0.1567965E+08  0.3611008E+08  0.8432403E+08
  0.1300000E+04  0.5292886E+04  0.1207430E+05  0.2594532E+05  0.4760422E+05  0.7497732E+05  0.1031829E+06  0.2832226E+06  0.7806910E+06  0.2210248E+07  0.6010684E+07  0.1510503E+08  0.3497360E+08  0.7938781E+08
