#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.1000000E+03  0.7733316E+04  0.2221815E+05  0.5665724E+05  0.1175411E+06  0.2003397E+06  0.2762702E+06  0.5045304E+06  0.9092929E+06  0.1624826E+07  0.2883230E+07  0.5114220E+07  0.9051680E+07  0.1603097E+08
  0.2000000E+03  0.9543561E+04  0.2499430E+05  0.6037876E+05  0.1235146E+06  0.2213529E+06  0.3723599E+06  0.6832454E+06  0.1234648E+07  0.2203680E+07  0.3912714E+07  0.6863367E+07  0.1242356E+08  0.2116191E+08
  0.3000000E+03  0.9862332E+04  0.2431096E+05  0.5624086E+05  0.1117608E+06  0.1968941E+06  0.3289968E+06  0.7129366E+06  0.1426726E+07  0.2698826E+07  0.4868153E+07  0.8632434E+07  0.1505890E+08  0.2596053E+08
  0.4000000E+03  0.8780678E+04  0.2063064E+05  0.4540883E+05  0.8451178E+05  0.1317913E+06  0.1621452E+06  0.4095927E+06  0.9914741E+06  0.2407025E+07  0.5641813E+07  0.1090029E+08  0.1715953E+08  0.3007410E+08
  0.5000000E+03  0.7051733E+04  0.1603112E+05  0.3398938E+05  0.6043252E+05  0.8866077E+05  0.1031045E+06  0.2853734E+06  0.7777797E+06  0.2083744E+07  0.5578829E+07  0.1602402E+08  0.4480404E+08  0.9499817E+08
  0.6000000E+03  0.5341738E+04  0.1193615E+05  0.2483400E+05  0.4340327E+05  0.6323282E+05  0.7675197E+05  0.2104193E+06  0.5733440E+06  0.1560998E+07  0.4341088E+07  0.1299678E+08  0.3929907E+08  0.1000962E+09
  0.7000000E+03  0.3950643E+04  0.8786083E+04  0.1820518E+05  0.3185159E+05  0.4710460E+05  0.6022783E+05  0.1639372E+06  0.4410703E+06  0.1180788E+07  0.3227146E+07  0.9544546E+07  0.2907212E+08  0.7885152E+08
  0.8000000E+03  0.2921271E+04  0.6518031E+04  0.1354871E+05  0.2380535E+05  0.3538170E+05  0.4520751E+05  0.1245281E+06  0.3368342E+06  0.8966809E+06  0.2432312E+07  0.6884986E+07  0.2100969E+08  0.5548028E+08
  0.9000000E+03  0.2206223E+04  0.4967922E+04  0.1040608E+05  0.1836844E+05  0.2716744E+05  0.3329404E+05  0.9338027E+05  0.2586184E+06  0.6928874E+06  0.1863371E+07  0.5120783E+07  0.1450245E+08  0.4004459E+08
  0.1000000E+04  0.1742766E+04  0.3982392E+04  0.8468469E+04  0.1520359E+05  0.2302441E+05  0.2948406E+05  0.7789182E+05  0.2092147E+06  0.5539584E+06  0.1482300E+07  0.4030170E+07  0.1113969E+08  0.3013495E+08
  0.1100000E+04  0.1457559E+04  0.3383488E+04  0.7331410E+04  0.1350554E+05  0.2139598E+05  0.3022577E+05  0.7729921E+05  0.1981338E+06  0.5061442E+06  0.1287766E+07  0.3368718E+07  0.9209841E+07  0.2472715E+08
  0.1200000E+04  0.1274714E+04  0.2988196E+04  0.6554490E+04  0.1225918E+05  0.1980986E+05  0.2855455E+05  0.7676614E+05  0.1984955E+06  0.5025149E+06  0.1247695E+07  0.3063038E+07  0.7940640E+07  0.2140296E+08
  0.1300000E+04  0.1138535E+04  0.2674848E+04  0.5887673E+04  0.1105021E+05  0.1788238E+05  0.2559763E+05  0.7101751E+05  0.1913183E+06  0.4969070E+06  0.1243109E+07  0.3002564E+07  0.7249925E+07  0.1892106E+08
  0.1400000E+04  0.1020043E+04  0.2388754E+04  0.5246748E+04  0.9822788E+04  0.1581809E+05  0.2237429E+05  0.6338895E+05  0.1767327E+06  0.4746752E+06  0.1219826E+07  0.2985892E+07  0.7025440E+07  0.1718937E+08
  0.1500000E+04  0.9087699E+03  0.2114135E+04  0.4621640E+04  0.8620890E+04  0.1384416E+05  0.1958172E+05  0.5551761E+05  0.1580239E+06  0.4336223E+06  0.1153048E+07  0.2915437E+07  0.6956712E+07  0.1620143E+08
  0.1600000E+04  0.8025835E+03  0.1848470E+04  0.4012443E+04  0.7446770E+04  0.1191841E+05  0.1685269E+05  0.4812674E+05  0.1386381E+06  0.3822377E+06  0.1040122E+07  0.2745244E+07  0.6833369E+07  0.1583312E+08
  0.1700000E+04  0.7028148E+03  0.1594493E+04  0.3424573E+04  0.6303375E+04  0.1000813E+05  0.1400419E+05  0.4037850E+05  0.1173754E+06  0.3299499E+06  0.9227912E+06  0.2519567E+07  0.6581174E+07  0.1570408E+08
